CompoundIntransitive,Affix,SubjMarker
Suffix,Compound,Negative,ImperfectProbable1
Suffix,Compound,Negative,ImperfectProbable2
Suffix,Compound,Negative,Jussive
Suffix,Compound,Negative,PerfectAnticipatory
Suffix,Compound,Negative,PerfectConditional
Suffix,Compound,Negative,PerfectPast1
Suffix,Compound,Negative,PerfectPast2
Suffix,Compound,Negative,PerfectPresent
Suffix,Compound,Negative,PerfectProbable
Suffix,Compound,Negative,Purposive1
Suffix,Compound,Negative,Purposive2
Suffix,Imperfect
Suffix,Negative,Anticipatory
Suffix,Negative,Imperative
Suffix,Negative,Imperfect
Suffix,Negative,Intentive
Suffix,Negative,Perfect
Suffix,Negative,Requestive
Suffix,Perfect
