conjClass,derivedStem,nonFiniteForm,polarity,tam,lex
Irregular,Copula,li
Suffix,B,Affirmative,Imperfect,daam
Suffix,B,Affirmative,Imperfect,dufu
Suffix,B,Affirmative,ImperfectInni,beet
Suffix,B,Affirmative,ImperfectM,rab
Suffix,B,Affirmative,Jussive,ab
Suffix,B,Affirmative,Jussive,alif
Suffix,B,Affirmative,Jussive,daam
Suffix,B,Affirmative,Jussive,dufu
Suffix,B,Affirmative,JussiveKi,alif
Suffix,B,Affirmative,JussiveKi,daam
Suffix,B,Affirmative,JussiveLi,daam
Suffix,B,Affirmative,Perfect,ab
Suffix,B,Affirmative,Perfect,abaar
Suffix,B,Affirmative,Perfect,abaas
Suffix,B,Affirmative,Perfect,abah
Suffix,B,Affirmative,Perfect,baah
Suffix,B,Affirmative,Perfect,bad
Suffix,B,Affirmative,Perfect,biaak
Suffix,B,Affirmative,Perfect,biil
Suffix,B,Affirmative,Perfect,deer
Suffix,B,Affirmative,Perfect,di
Suffix,B,Affirmative,Perfect,do
Suffix,B,Affirmative,Perfect,fuu
Suffix,B,Affirmative,PerfectM,rab
Suffix,B,Negative,Imperative,daam
Suffix,B,Negative,Imperative,fak
Suffix,B,Negative,Imperfect,ab
Suffix,B,Negative,Imperfect,daam
Suffix,B,Negative,Jussive,daam
Suffix,B,Negative,Perfect,daam
Suffix,B,Participle,Affirmative,daam
Suffix,B,Participle,Affirmative,dufu
Suffix,B,Participle,Affirmative,fi
Suffix,B,Participle,Affirmative,gur
Suffix,B,Participle,Affirmative,sa
Suffix,M,Affirmative,Perfect,Aad
Suffix,M,Affirmative,Perfect,beet
Suffix,M,Affirmative,Perfect,daam
Suffix,M,Affirmative,Perfect,fah
Suffix,S1,Affirmative,Imperative,bad
Suffix,S1,Affirmative,Imperative,defee
Suffix,S1,Affirmative,Imperative,fah
Suffix,S1T,Affirmative,Imperative,hay
Suffix,S2,Affirmative,Imperative,beet
Suffix,S2,Affirmative,Imperative,bolol
Suffix,T,Affirmative,Imperative,biaak
Suffix,T,Affirmative,ImperfectInni,hankabit
Suffix,T,Negative,Imperative,suu
